Volume of imports of major arms by the top 10000 largest recipients  1980-2024;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:23 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1980-2024,,Recipient,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1980-2024, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,Finland,328,118,132,112,127,203,98,66,141,86,88,65,442,406,234,195,552,397,560,768,472,7,15,242,67,93,132,149,134,37,41,60,87,254,182,268,122,47,82,86,96,20,12,37,105,7962,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,Angola,116,264,344,589,501,536,710,1193,971,152,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,49,156,113,274,170,51,,46,15,16,7874,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,North Korea,487,347,527,339,112,963,1075,813,818,561,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,,7760,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,Romania,516,470,444,284,243,330,455,214,237,296,599,65,187,14,29,2,39,61,170,142,21,24,21,17,283,431,64,101,80,59,107,80,21,20,0,22,177,88,36,13,168,105,186,364,320,7607,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,Peru,676,857,271,320,361,215,250,611,241,11,104,108,130,43,175,47,121,373,52,95,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0,28,62,38,22,1,6898,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,Bangladesh,55,72,128,109,9,124,4,1,242,302,199,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,82,12,,36,120,199,648,207,638,455,334,161,713,70,60,331,74,70,6880,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,Switzerland,272,289,175,442,404,341,108,151,179,318,433,469,381,98,114,93,187,375,428,499,15,60,58,117,203,168,83,108,15,36,38,24,2,,5,10,70,,,,,,15,33,,6814,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,Myanmar,40,,38,,,,9,,,34,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,179,206,153,80,65,62,668,398,252,112,258,284,210,203,206,217,67,229,132,222,6785,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,Argentina,445,833,406,1309,724,485,219,217,71,6,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,18,17,47,19,51,7,77,50,22,45,6601,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,Belgium,565,515,433,580,575,287,91,91,407,203,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,87,40,27,33,48,99,52,4,7,1,9,90,255,170,12,508,6507,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,NATO**,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,120,6392,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
