Volume of imports of major arms by the top 10000 largest recipients  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:54 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,Ethiopia,2,19,,6,8,1,1,16,19,6,24,4,21,27,4,14,99,31,34,24,90,54,53,5,36,58,113,1133,965,113,330,3311,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,South Yemen,,,,,,,,,,,,,,,,,,29,13,58,17,50,112,86,71,14,,8,55,1078,1218,2809,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,Albania,20,10,21,35,37,98,74,54,59,141,69,74,42,12,8,140,74,163,265,297,250,332,134,106,137,53,5,7,5,,,2720,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,Singapore,,,,,,,6,,,,,,,,,1,8,,6,139,92,171,181,89,282,253,252,171,50,313,371,2385,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,128,91,79,25,192,109,229,74,85,394,146,72,310,127,2369,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,Kuwait,,,,0,5,1,,,2,,44,4,10,5,56,23,11,,104,126,59,109,30,4,5,77,230,485,504,223,35,2151,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,Ecuador,,,,10,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,85,41,15,22,42,226,582,224,110,289,1944,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,,Nigeria,,,,,,,,,,5,,1,8,9,2,56,159,47,50,39,14,12,113,7,24,424,104,90,142,108,474,1888,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,,Philippines,,2,1,32,22,28,39,42,37,68,50,44,11,4,2,99,86,43,16,26,9,90,50,106,60,133,256,198,143,92,75,1863,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,Finland,,,18,,,11,15,3,25,41,60,52,48,252,103,81,42,76,23,21,15,4,26,13,172,129,74,12,105,47,328,1794,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,,New Zealand,41,70,147,12,,35,147,90,58,,119,111,8,5,,10,406,4,56,,168,133,23,23,10,51,7,34,,,,1767,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,,North Yemen,0,,4,,,1,,40,8,,,23,,1,,,1,,,,,,,,9,9,0,13,14,744,705,1572,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,,Austria,,,,2,,16,108,149,11,24,16,27,56,201,74,78,61,48,1,12,99,123,93,38,32,12,12,,8,72,177,1547,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,,United Arab Emirates,,,,,,,,,,,,,,,,,,,13,12,67,24,28,88,100,145,275,310,230,39,213,1544,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,Colombia,3,8,15,12,36,3,43,15,292,1,5,66,6,32,9,18,32,15,32,121,8,40,171,163,5,291,10,8,12,36,12,1518,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,,Sudan,,,,,,,,2,5,4,6,17,34,17,36,5,10,6,13,177,598,87,69,23,3,5,,29,208,46,3,1401,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,Mongolia,,5,28,5,3,10,9,12,12,,10,66,90,86,120,137,116,63,15,22,15,13,8,58,76,195,31,30,47,29,60,1371,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,Somalia,,,,,,,,,,,11,2,0,11,,31,53,72,4,1,,,24,165,283,128,185,29,57,90,101,1246,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
